strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
PB186188	zika	PB186188	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB186188	?	?	?
PB186189	zika	PB186189	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PB186189	?	?	?
PC245058	zika	PC245058	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC245058	?	?	?
PC245375	zika	PC245375	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC245375	?	?	?
PC323069	zika	PC323069	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC323069	?	?	?
PP130172	zika	PP130172	2023-05-XX	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PP130172	?	?	?
PP626407	zika	PP626407	2016-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PP626407	?	?	?
PP626408	zika	PP626408	2016-XX-XX	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PP626408	?	?	?
PP825811	zika	PP825811	2016-XX-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PP825811	?	?	?
PQ139123	zika	PQ139123	2023-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PQ139123	?	?	?
PQ139128	zika	PQ139128	2023-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PQ139128	?	?	?
PQ139129	zika	PQ139129	2023-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PQ139129	?	?	?
PQ139130	zika	PQ139130	2023-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PQ139130	?	?	?
PQ139131	zika	PQ139131	2023-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PQ139131	?	?	?
KY441403	zika	KY441403	2016-01-11	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY441403	?	?	?
OP858774	zika	OP858774	2018-03-20	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858774	?	?	?
OP858775	zika	OP858775	2018-03-09	North America	Cuba	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/OP858775	?	?	?
PC245059	zika	PC245059	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC245059	?	?	?
PC245347	zika	PC245347	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC245347	?	?	?
MF098766	zika	MF098766	2016-05-31	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098766	?	?	?
LP940743	zika	LP940743	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940743	?	?	?
MW122386	zika	MW122386	2016-07-17	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122386	?	?	?
MW122427	zika	MW122427	2016-08-23	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MW122427	?	?	?
PC244903	zika	PC244903	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC244903	?	?	?
PC247647	zika	PC247647	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/PC247647	?	?	?
EU074027	zika	EU074027	XXXX-XX-XX	Africa	Uganda	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EU074027	?	?	?
KF383029	zika	KF383029	2002-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383029	?	?	?
KF383060	zika	KF383060	2000-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383060	?	?	?
KF383098	zika	KF383098	1997-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383098	?	?	?
KU820897	zika	KU820897	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU820897	?	?	?
KU853012	zika	KU853012	2016-02-01	Europe	Italy	Padua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU853012	?	?	?
KU926326	zika	KU926326	2015-12-27	Asia	Israel	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU926326	?	?	?
KX212103	zika	KX212103	2015-09-01	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX212103	?	?	?
KX380262	zika	KX380262	2016-XX-XX	North America	Mexico	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX380262	?	?	?
KX446951	zika	KX446951	2016-01-01	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX446951	?	?	?
KX447514	zika	KX447514	2014-01-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX447514	?	?	?
KX832731	zika	KX832731	2016-08-24	North America	United States (USA)	 Florida	 Florida	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX832731	?	?	?
KY126347	zika	KY126347	2016-09-XX	Asia	Taiwan	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY126347	?	?	?
KY241686	zika	KY241686	2016-09-12	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241686	?	?	?
KY241704	zika	KY241704	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241704	?	?	?
KY241723	zika	KY241723	2016-08-27	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241723	?	?	?
KY241727	zika	KY241727	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241727	?	?	?
KY241765	zika	KY241765	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241765	?	?	?
KY241780	zika	KY241780	2016-09-06	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241780	?	?	?
KY241788	zika	KY241788	2016-05-13	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241788	?	?	?
KY317937	zika	KY317937	2016-01-07	South America	Colombia	?	?	ENA	genome	Antibody Systems Inc	https://www.ebi.ac.uk/ena/browser/view/KY317937	?	?	?
KY325472	zika	KY325472	2016-08-23	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325472	?	?	?
KY558992	zika	KY558992	2016-01-06	South America	Brazil	 Pernambuco	 Pernambuco	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY558992	?	?	?
KY559021	zika	KY559021	2016-03-10	South America	Brazil	 Tocantins	 Tocantins	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559021	?	?	?
KY765327	zika	KY765327	2016-04-22	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765327	?	?	?
KY785419	zika	KY785419	2016-06-13	North America	Jamaica	?	?	ENA	genome	University of the West Indies Department of	https://www.ebi.ac.uk/ena/browser/view/KY785419	?	?	?
LP836868	zika	LP836868	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP836868	?	?	?
LP837289	zika	LP837289	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP837289	?	?	?
LP940664	zika	LP940664	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940664	?	?	?
LQ868280	zika	LQ868280	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868280	?	?	?
LQ868282	zika	LQ868282	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868282	?	?	?
LQ868300	zika	LQ868300	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868300	?	?	?
LZ221258	zika	LZ221258	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LZ221258	?	?	?
MF098764	zika	MF098764	2016-05-11	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098764	?	?	?
MF574558	zika	MF574558	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574558	?	?	?
MF574583	zika	MF574583	2016-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574583	?	?	?
MF629797	zika	MF629797	2013-07-05	Africa	Nigeria	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF629797	?	?	?
MF794971	zika	MF794971	2016-05-01	South America	Ecuador	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF794971	?	?	?
